Hydration	C3S	C2S	C3A	C4AF	MK	CSHQ	Portlandite	Gypsum	Calcite	AFt	AFm	MC	HC	Stratlingite	C3AH6	Hydrotalcite	Fe-siliceous hy	aq_gen
-10.380211	48.558673	4.2210527	6.91	7.2	16.141864	0.78334411	0	4.1271157	8.6598008	2.4041811	0	0	0	0	0	0	0	49.615392
-3	48.552382	4.2200526	6.91	7.2	16.140431	0.79235577	0	4.1251055	8.6598005	2.411703	0	0	0	0	0	0	0	49.609567
-2.9586073	48.551615	4.2199763	6.9099953	7.2	16.140287	0.79338419	0	4.1249522	8.6598005	2.4124764	0	0	0	0	0	0	0	49.608907
-2.9208187	48.550835	4.2199016	6.9098863	7.199999	16.140144	0.79442739	0	4.1246051	8.6598005	2.4137371	0	0	0	0	0	0	0	49.608056
-2.8860566	48.550041	4.2198283	6.9096927	7.1999948	16.140001	0.79548467	0	4.1240992	8.6598004	2.4153989	0	0	0	0	0	0	0	49.607047
-2.8239087	48.548415	4.2196855	6.9094455	7.1999872	16.139714	0.79763704	0	4.1233714	8.6598003	2.4180699	0	0	0	0	0	0	0	49.605253
-2.79588	48.547585	4.2196157	6.9091484	7.1999764	16.139571	0.79873178	0	4.1226771	8.6598002	2.4202296	0	0	0	0	0	0	0	49.604037
-2.7447275	48.545893	4.2194792	6.9087999	7.199962	16.139285	0.80095297	0	4.1217778	8.6598001	2.4233886	0	0	0	0	0	0	0	49.602024
-2.7212464	48.545032	4.2194122	6.9083963	7.1999438	16.139142	0.80208025	0	4.1208865	8.6598	2.4260618	0	0	0	0	0	0	0	49.600598
-2.6777807	48.543283	4.2192806	6.9079327	7.1999213	16.138855	0.80436195	0	4.1197843	8.6597999	2.4297766	0	0	0	0	0	0	0	49.598344
-2.6197888	48.540595	4.2190885	6.9074029	7.1998938	16.138426	0.80785051	0	4.1184806	8.6597997	2.4345623	0	0	0	0	0	0	0	49.595222
-2.5850266	48.538763	4.2189635	6.9067999	7.1998608	16.138139	0.81021907	0	4.1171375	8.6597995	2.4389511	0	0	0	0	0	0	0	49.592669
-2.537602	48.535962	4.21878	6.9061155	7.1998215	16.13771	0.81382773	0	4.1155753	8.6597992	2.4444862	0	0	0	0	0	0	0	49.589203
-2.5086383	48.534061	4.2186601	6.9053406	7.1997748	16.137424	0.81627132	0	4.1139213	8.6597991	2.4497076	0	0	0	0	0	0	0	49.586298
-2.455932	48.530185	4.2184256	6.9044647	7.1997198	16.136851	0.82123334	0	4.1119664	8.6597989	2.4569225	0	0	0	0	0	0	0	49.58166
-2.4202164	48.527217	4.2182537	6.9034761	7.1996552	16.136422	0.82502211	0	4.1098709	8.6597986	2.4639344	0	0	0	0	0	0	0	49.577546
-2.3767507	48.523185	4.2180294	6.9023617	7.1995795	16.13585	0.83015278	0	4.1075062	8.6597983	2.4723099	0	0	0	0	0	0	0	49.572385
-2.3372422	48.519074	4.2178099	6.9011067	7.1994912	16.135277	0.83536984	0	4.1048947	8.659798	2.4813708	0	0	0	0	0	0	0	49.566922
-2.2924298	48.513832	4.2175416	6.8996946	7.1993883	16.134562	0.84200119	0	4.1019786	8.6597976	2.4919493	0	0	0	0	0	0	0	49.560318
-2.251812	48.508485	4.2172793	6.8981068	7.1992687	16.133847	0.84874829	0	4.0987571	8.659797	2.5033848	0	0	0	0	0	0	0	49.553332
-2.2146702	48.50304	4.2170225	6.8963228	7.1991299	16.133132	0.85560493	0	4.0951793	8.6597967	2.5157841	0	0	0	0	0	0	0	49.54593
-2.1739252	48.496386	4.2167205	6.8943192	7.1989691	16.132274	0.86396221	0	4.0912034	8.6597962	2.5300081	0	0	0	0	0	0	0	49.537228
-2.1307683	48.48847	4.2163761	6.8920703	7.198783	16.131273	0.87388191	0	4.0867959	8.6597956	2.5461866	0	0	0	0	0	0	0	49.527148
-2.091515	48.480401	4.2160392	6.889547	7.1985678	16.130273	0.88397271	0	4.0818958	8.659795	2.5637135	0	0	0	0	0	0	0	49.516479
-2.0457575	48.469819	4.2156157	6.8867171	7.1983192	16.128987	0.88923765	0	4.0744523	8.6597942	2.5842506	0	0	0	0	0	0	0	49.505674
-2.0087739	48.460233	4.2152475	6.8835444	7.1980323	16.127844	0.89303261	0	4.0663166	8.659793	2.6057259	0	0	0	0	0	0	0	49.495069
-1.9665762	48.448029	4.2147969	6.8799884	7.1977015	16.126416	0.90792616	0	4.0595859	8.6597922	2.6305937	0	0	0	0	0	0	0	49.479596
